province;red;green;blue;x;x
1;128;34;64;Stockholm;x
2;0;36;128;�sterg�tland;x
3;128;38;192;Sm�land;x
4;0;40;255;Bergslagen;x
5;128;42;0;V�rmland;x
6;0;44;64;Sk�ne;x
7;129;46;128;V�sterg�tland;x
8;1;48;192;Dalaskogen;x
9;129;50;255;H�lsingland;x
10;1;52;0;J�mtland;x
11;129;54;64;V�sterbotten;x
12;1;56;128;Sj�lland;x
13;129;58;150;Slesvig;x
14;2;60;255;Fyn;x
15;130;62;0;Midtjylland;x
16;2;64;64;Bohusl�n;x
17;130;66;128;Akershus;x
18;2;68;192;Ume�;x
19;130;70;255;�sterbotten;x
20;2;72;0;Tr�ndelag;x
21;131;74;64;H�logaland;x
22;135;145;155;all_land;x
23;135;160;190;schworingen;x
24;105;160;190;ober_schworingen;x
25;55;160;190;sollingen;x
26;0;160;190;monten;x
27;90;115;200;seeland;x
28;90;145;200;rechenburg;x
29;90;185;200;bendland;x
30;90;225;200;bendheim;x
31;208;90;225;patenkirchen;x
32;238;90;225;lippland;x
33;238;130;225;kollonen;x
34;238;170;225;lurlei;x
35;150;134;45;fuggen;x
36;190;134;45;fuggen_land;x
37;110;134;45;bachen;x
38;80;134;45;ansen;x
39;50;134;45;neu_fuggen;x
40;224;239;55;elfland;x
41;204;239;55;eilenheim;x
42;104;239;55;tubendofer_land;x
43;64;239;55;tubendofer_land;x
44;24;239;55;grafenheim;x
45;246;116;21;possen;x
46;206;116;21;nantenbach;x
47;156;116;21;venningen;x
48;156;116;61;steina;x
49;156;116;151;vogelsberg;x
50;83;77;72;deutscherland;x
51;43;77;72;cramme;x
52;43;27;72;colmberg;x
53;43;27;22;arnstein;x
54;43;77;22;freiberg;x
55;162;237;116;waldtal;x
56;112;237;116;tower_of_the_east;x
57;112;207;116;ober_deutscher;x
58;112;107;116;lindau;x
59;112;107;16;deutschgeorgental;x
60;16;112;84;kaltenkirche;x
61;16;112;124;crivitz;x
62;16;112;154;herne;x
63;16;112;194;doberan;x
64;16;112;224;isenburg;x
65;138;137;68;idelberg;x
66;138;97;68;zorge;x
67;168;97;68;zehna;x 
68;168;137;68;kandern;x
69;138;97;108;zossen;x
70;237;237;237;yach;x
71;207;237;237;konigsstuhl;x
72;207;207;237;aub;x
73;207;207;207;wingendorf;x
74;203;36;40;baden;x
75;203;76;40;ilvesheim;x
76;203;76;80;hadenstedt;x
77;203;16;80;rittin;x
78;117;231;232;ritterdorf;x
79;117;201;232;heckenhausen;x
80;117;201;202;wusten;x
81;87;201;202;jonsdorf;x
82;140;215;152;covninus;x
83;100;215;152;neustadt;x
84;60;215;152;vallendar;x
85;60;215;102;oppalia;x
86;20;215;102;rabenstadt;x
87;112;67;87;jungfrauen;x
88;112;67;137;bakavia;x
89;112;67;187;valentin;x
90;112;57;197;bad_sachsa;x
91;112;7;197;kleines_viertel;x
92;112;7;157;tatsachen;x
93;106;112;67;rabenhafen;x
94;106;12;67;orakelberg;x
95;12;106;96;nordland;x
96;12;106;46;vier_gipfel;x
97;12;106;6;drei_burgen;x
98;52;106;6;zeitenen;x
99;2;106;6;hochgezeit;x
100;41;2;106;ostland;x
101;1;2;106;verl;x
102;1;2;166;vogtei;x
103;1;2;226;grosschirma;x
104;1;20;226;valwig;x
105;41;50;106;insel_von_tank;x
106;41;100;106;caprin;x
107;41;150;106;schatzniz;x
108;32;46;40;villingen;x
109;32;6;40;jade;x
110;32;6;0;nordburg;x
111;32;60;52;frankenstein;x
112;185;122;229;schonburg;x
113;145;122;229;marktbreit;x
114;145;122;119;vipperow;x
